VentaID,FechaID,Fecha,ClienteID,ProductoID,SucursalID,Cantidad,PrecioUnitario,PorcentajeDescuento,MontoDescuento,PrecioConDescuento,MontoNeto,CostoTotal,UtilidadBruta,MargenBruto,IVA,MontoConIVA,Canal,MetodoPago,Estatus
VEN000001,20241004,2024-10-04,CLI0959,PROD0038,SUC011,1,812.58,0.0,0.0,812.58,812.58,312.36,500.22,0.6156,130.01,942.59,Presencial,Transferencia,Completada
VEN000002,20251214,2025-12-14,CLI0730,PROD0068,SUC009,1,573.65,0.0,0.0,573.65,573.65,213.63,360.02,0.6276,91.78,665.43,Presencial,Efectivo,Completada
VEN000003,20250902,2025-09-02,CLI0543,PROD0114,SUC019,1,666.99,0.0,0.0,666.99,666.99,452.69,214.3,0.3213,106.72,773.71,App Móvil,Efectivo,Completada
VEN000004,20240511,2024-05-11,CLI0970,PROD0179,SUC020,1,444.92,0.0,0.0,444.92,444.92,321.5,123.42,0.2774,71.19,516.11,Web,Tarjeta Débito,Completada
VEN000005,20251116,2025-11-16,CLI0961,PROD0018,SUC017,1,175.54,0.0,0.0,175.54,175.54,65.51,110.03,0.6268,28.09,203.63,Presencial,Tarjeta Débito,Completada
VEN000006,20241227,2024-12-27,CLI0482,PROD0058,SUC015,2,462.07,0.05,46.21,438.97,877.94,266.7,611.24,0.6962,140.47,1018.41,Presencial,Tarjeta Crédito,Completada
VEN000007,20251126,2025-11-26,CLI0650,PROD0008,SUC001,1,1165.07,0.0,0.0,1165.07,1165.07,371.19,793.88,0.6814,186.41,1351.48,Web,Tarjeta Crédito,Completada
VEN000008,20251008,2025-10-08,CLI0810,PROD0126,SUC008,1,146.23,0.0,0.0,146.23,146.23,100.83,45.4,0.3105,23.4,169.63,Presencial,Tarjeta Crédito,Completada
VEN000009,20241207,2024-12-07,CLI0440,PROD0066,SUC019,3,304.86,0.15,137.19,259.13,777.39,316.53,460.86,0.5928,124.38,901.77,Web,Transferencia,Completada
VEN000010,20240131,2024-01-31,CLI0830,PROD0118,SUC009,1,167.36,0.0,0.0,167.36,167.36,90.68,76.68,0.4582,26.78,194.14,Presencial,Tarjeta Crédito,Completada
VEN000011,20240907,2024-09-07,CLI0105,PROD0048,SUC008,1,228.47,0.05,11.42,217.05,217.05,97.88,119.17,0.549,34.73,251.78,Presencial,Tarjeta Crédito,Completada
VEN000012,20250213,2025-02-13,CLI0484,PROD0153,SUC011,4,3220.59,0.2,2576.47,2576.47,10305.88,5244.4,5061.48,0.4911,1648.94,11954.82,App Móvil,OXXO Pay,Completada
VEN000013,20250508,2025-05-08,CLI0486,PROD0083,SUC010,1,328.08,0.0,0.0,328.08,328.08,157.38,170.7,0.5203,52.49,380.57,Presencial,Efectivo,Completada
VEN000014,20240827,2024-08-27,CLI0682,PROD0184,SUC018,3,1119.53,0.0,0.0,1119.53,3358.59,2006.43,1352.16,0.4026,537.37,3895.96,Presencial,Tarjeta Débito,Completada
VEN000015,20240511,2024-05-11,CLI0108,PROD0010,SUC002,4,533.45,0.05,106.69,506.78,2027.12,1151.2,875.92,0.4321,324.34,2351.46,Presencial,Tarjeta Crédito,Completada
VEN000016,20251103,2025-11-03,CLI0095,PROD0078,SUC014,2,451.6,0.0,0.0,451.6,903.2,491.98,411.22,0.4553,144.51,1047.71,Web,Tarjeta Débito,Completada
VEN000017,20251227,2025-12-27,CLI0904,PROD0128,SUC015,1,638.65,0.0,0.0,638.65,638.65,405.42,233.23,0.3652,102.18,740.83,Presencial,Tarjeta Crédito,Completada
VEN000018,20250202,2025-02-02,CLI0307,PROD0096,SUC018,1,521.04,0.0,0.0,521.04,521.04,325.13,195.91,0.376,83.37,604.41,Presencial,Efectivo,Completada
VEN000019,20240527,2024-05-27,CLI0332,PROD0003,SUC010,1,113.02,0.0,0.0,113.02,113.02,53.15,59.87,0.5297,18.08,131.1,App Móvil,Efectivo,Completada
VEN000020,20240911,2024-09-11,CLI0778,PROD0192,SUC008,4,1218.16,0.0,0.0,1218.16,4872.64,3148.2,1724.44,0.3539,779.62,5652.26,Presencial,Tarjeta Crédito,Completada
VEN000021,20240125,2024-01-25,CLI0422,PROD0043,SUC013,4,91.41,0.1,36.56,82.27,329.08,164.36,164.72,0.5005,52.65,381.73,App Móvil,Tarjeta Crédito,Completada
VEN000022,20251203,2025-12-03,CLI0836,PROD0036,SUC015,4,577.43,0.0,0.0,577.43,2309.72,1138.0,1171.72,0.5073,369.56,2679.28,Presencial,Efectivo,Completada
VEN000023,20240427,2024-04-27,CLI0409,PROD0071,SUC004,1,414.37,0.0,0.0,414.37,414.37,229.98,184.39,0.445,66.3,480.67,Presencial,Efectivo,Completada
VEN000024,20250315,2025-03-15,CLI0765,PROD0084,SUC004,1,191.33,0.0,0.0,191.33,191.33,95.99,95.34,0.4983,30.61,221.94,Presencial,Tarjeta Crédito,Completada
